Action,Campaign,Ad group,Status
Add,SG Поиск Бишкек,1 Грузоперевозки и грузовое такси,Paused
Add,SG Поиск Бишкек,2 Портер спринтер газель,Paused
Add,SG Поиск Бишкек,3 Переезд квартиры и офиса,Paused
Add,SG Поиск Бишкек,4 Грузчики и сборка мебели,Paused
Add,SG Поиск Бишкек,5 Кыргызча машина жана кочуу,Paused
Add,SG Поиск Бишкек,6 Кыргызча грузчик жана мебель,Paused
