Row Type,Action,Asset action,Level,Campaign,Ad group,Sitelink text,Final URL,Description,Description 2
Sitelink,Add,Create new,Campaign,SG Поиск Бишкек,,Калькулятор стоимости,https://sprintergo.kg/#calc,Считайте онлайн за минуту,Цена до подачи машины
Sitelink,Add,Create new,Campaign,SG Поиск Бишкек,,Цены и тарифы,https://sprintergo.kg/#prices,Минимальный от 1 500 сом,Стандарт и Премиум
Sitelink,Add,Create new,Campaign,SG Поиск Бишкек,,Автопарк,https://sprintergo.kg/#fleet,"Портер, спринтер, газель",Грузовики 3 и 5 тонн
Sitelink,Add,Create new,Campaign,SG Поиск Бишкек,,Отзывы клиентов,https://sprintergo.kg/#reviews,Переезды и сборка мебели,Реальные истории
